key,القيمة
reject_message_2,)
reject_edit,تحرير رفض العناصر
disable_edit,تحرير عناصر تعطيل
noti_sent_fail,فشل في إرسال إشعار الدفع
noti_sent_success,تم إرسال إشعار الدفع بنجاح إلى
success_app_setting_edit,تم تحديث إعداد التطبيق بنجاح
btn_no,لا
module_group_lang,مجموعة الوحدات
group_name,اسم مجموعة الوحدة النمطية
group_icon,رمز مجموعة الوحدة النمطية
group_lang_key,مفتاح اللغة
group_info,معلومات مجموعة الوحدة النمطية
group_search,مجموعة وحدة البحث
group_add,إضافة مجموعة الوحدة النمطية
success_group_edit,تم تعديل مجموعة الوحدة بنجاح
success_group_add,تمت إضافة مجموعة الوحدة النمطية بنجاح
group_edit,تحرير مجموعة الوحدة النمطية
success_group_delete,تم حذف مجموعة الوحدة النمطية بنجاح
err_group_name,يرجى تقديم مجموعة الوحدة النمطية
err_group_len,يجب أن يكون طول اسم مجموعة الوحدة النمطية أكبر من 4
err_group_exist,اسم مجموعة الوحدة النمطية موجود بالفعل
module_lang,وحدة
module_desc,وصف
module_ordering,الطلب
module_add,أضف الوحدة
module_info,معلومات الوحدة
module_name,اسم وحدة
is_show_on_menu,هل تظهر في القائمة؟
module_lang_key,مفتاح لغة الوحدة
module_select_group,حدد مجموعة الوحدة النمطية
delete_module_label,حذف الوحدة؟
module_delete_confirm_message,هل أنت متأكد من حذف هذه الوحدة؟
delete_group_label,حذف مجموعة الوحدة النمطية؟
group_delete_confirm_message,هل أنت متأكد من حذف مجموعة الوحدة هذه؟
err_module_name,يرجى تقديم اسم الوحدة
err_module_len,يجب أن يكون طول اسم الوحدة أكبر من 4
err_module_exist,اسم الوحدة موجود بالفعل
module_search,اسم وحدة البحث
success_module_edit,تم تحديث الوحدة بنجاح.
success_module_add,تمت إضافة الوحدة بنجاح.
module_edit,تحرير الوحدة
success_module_delete,تم حذف الوحدة بنجاح.
approval_yes_all_message,هل انت متأكد من الحذف؟
err_user_phone_exist,الهاتف موجود بالفعل في النظام.
paid_history_edit,تحرير سجل المعاملات
paid_prd_add,إضافة عنصر مدفوع
delete_system_user_label,حذف مستخدم النظام؟
system_user_delete_confirm_message,هل أنت متأكد من حذف مستخدم النظام هذا؟
loc_ordering,الطلب
record_not_found,10001 ## آسف ، السجل غير موجود.
no_record_pagination,10002 ## آسف ، لا يوجد المزيد من السجلات في النظام.
offline_paid_module,العناصر المدفوعة دون اتصال بالإنترنت
offline_paid_prd_info,معلومات العناصر المدفوعة دون اتصال بالإنترنت
offline_paid_edit,تحرير العنصر المدفوع دون اتصال
offline_setting,إعداد غير متصل بالشبكة
offline_label,[الخيار 4]: الدفع بدون الاتصال بالإنترنت
offline_message,رسالة
offline_enabled_label,هل ممكن دون اتصال؟
prd_paid_info,معلومات السلعة المدفوعة
offline_info,معلومات الدفع دون اتصال
offline_title_label,عنوان الدفع دون اتصال
offline_description_label,وصف الدفع دون اتصال
offline_icon,أيقونة الدفع دون اتصال
offline_search,بحث الدفع دون اتصال
offline_add,إضافة الدفع دون اتصال
offline_edit,تحرير الدفع دون اتصال
success_offline_edit,تم تحديث الدفع دون اتصال بنجاح
success_offline_add,تمت إضافة الدفع دون اتصال بنجاح
success_offline_delete,تم حذف الدفع دون اتصال بنجاح
err_offline_name,يرجى تقديم عنوان الدفع دون اتصال
err_offline_len,يجب أن يكون طول عنوان الدفع دون اتصال بالإنترنت أكبر من 4
err_offline_exist,عنوان Paymen غير متصل موجود بالفعل في النظام
delete_offline_label,حذف الدفع دون اتصال؟
offline_delete_confirm_message,هل تريد حذف جميع المدفوعات غير المتصلة بالإنترنت؟
offline_yes_all_label,نعم
offline_no_only_label,إلغاء
offline_payment,طرق الدفع غير المتصلة
offline_paid_module,العناصر المدفوعة دون اتصال بالإنترنت
img_configuration,تكوين الصورة
land_width_label,عرض أفقي
potrait_height_label,ارتفاع الصورة
square_label,ارتفاع مربع
err_lat,يرجى تقديم خط العرض
err_lng,يرجى تقديم خط الطول
err_lat_lng,لا يجب أن يكون خط العرض والطول 0.0
offline_yes_all_message,لهل تريد حذف كل المبالغ حاليا؟
email_verification_enabled,"أسل التأكيد ممكن؟ (إذا كان هذا الإعداد ""تشغيل""، عندما سجل المستخدم باستخدام البريد الإلكتروني، فإنه سيتم إرسال رمز التحقق إلى البريد الإلكتروني للمستخدم مسجل.)"
user_auto_approved,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبًا بكم في Flutter Buy & Sell.
user_not_able_delete,آسف، وهذا هو حساب النظام حتى لا يكون قادرا على تعطيل.
delete_allow_user_label,حذف المستخدم المسموح به؟
allow_user_delete_confirm_message,هل تريد حذف جميع المستخدمين المسموح لهم؟
allowed_module_lang,المستخدمون المسموح لهم
itm_promote_alert,هام: هذا العنصر قيد الترقية الآن ، لذا يرجى التأكد من تعطيل الإجراء.
user_not_able_delete,آسف، وهذا هو حساب النظام حتى لا يكون قادرا على تعطيل.
err_user_register,عذرا، هناك مشكلة للتسجيل المستخدم.
err_user_not_exist,لا موجودة حسابك في النظام.
err_user_email_blank,يرجى تقديم البريد الإلكتروني
err_user_email_invalid,بريدك الالكتروني خاطئ
success_block,وقد تم حظر المستخدم بنجاح.
success_unblock,تم إلغاء حظر المستخدم بنجاح.
no_user_unblock,غير قادر على إلغاء حظر المستخدم.
unable_to_report,غير قادر على الإبلاغ عن هذا البند لأنه البند الخاص بك.
success_logout,غير قادر على الإبلاغ عن هذا البند لأنه البند الخاص بك.
deeplink_section,قسم الربط العميق
dyn_link_key_label,مفتاح الارتباط الديناميكي
dyn_link_url_label,رابط ديناميكي URL
dyn_link_package_name_label,اسم حزمة الارتباط الديناميكي
dyn_link_domain_label,مجال الربط الديناميكي
dyn_link_deep_url_label,رابط عميق للرابط
prd_dynamic_link_label,رابط ديناميكي للمنتج
already_report,لقد ذكرت بالفعل لهذا البند.
lat_invlaid,خط العرض يجب أن تكون بين -90 و 90 درجة ضمنا.
lng_invlaid,يجب أن يكون خط الطول بين -180 و 180 درجة شامل.
paystack_setting,إعداد Paystack
paystack_label,[الخيار 5]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
dyn_link_package_name_ios,دينامية ربط IOS اسم الحزمة
dyn_link_ios_appstore_id,ارتباط ديناميكي IOS أبستور رقم
purchase_add,إضافة في التطبيقات المشتراة
in_app_purchase_info,في معلومات التطبيقات المشتراة
app_purchase_product_id_label,في APP المشتراة معرف المنتج (ترويج العناصر)
purchase_description_label,وصف
purchase_type_label,اكتب (ترويج العنصر)
err_purchase_description,يرجى تقديم الوصف
success_purchase_edit,في تطبيق تم شراؤه تم تحديث بنجاح.
delete_purchase_label,حذف في التطبيق شراؤها؟
purchase_yes_all_message,هل تريد حذف في التطبيقات المشتراة؟
success_purchase_delete,في التطبيق قد تم حذفه بنجاح شراؤها.
in_app_purchased_setting,في التطبيقات إعداد شراؤها
purchase_key_label,يمكنك تسديد المبلغ ب في التطبيق شراء
purchase_enabled_label,وشراء ممكن؟
err_purchase_id,يرجى تقديم رقم شراء.
in_app_purchase,في التطبيقات المشتراة
data_delection_module,العضو حذف البيانات
data_delete_info,العضو بيانات معلومات الحذف
is_show_email,مشاهدة البريد الإلكتروني
is_show_phone,مشاهدة الهاتف
privacy_policy_label,سياسة الخصوصية
cancelation_policy,سياسة الإلغاء
refund_policy_label,سياسة الاسترجاع
data_delete_info,بيانات حذف معلومات سياسة
success_data_deletion_add,تمت إضافة نهج حذف البيانات بنجاح.
success_data_deletion_edit,تم تحديث سياسة حذف البيانات بنجاح.
data_deletion_module,سياسة حذف البيانات
data_daletion_policy_url,URL سياسة حذف البيانات
privacy_policy_url,URL سياسة الخصوصية
Data_deletions_policies,سياسات حذف البيانات
Privacy_policies,سياسات الخصوصية
location_townships,البلدات وكتيون
location_township_add,إضافة موقع بلدة
township_name,اسم البلدة
item_location_module,موقع المدن
is_default,تقصير
Prd_search_location_township,اختر المدينة بلدة
itm_select_location_township,اختر المدينة بلدة
location_township_name,اسم البلدة
township_edit,تحرير بلدة
township_search,بحث بلدة
is_sub_location,"فرعية الموقع في؟ (إذا كان هذا الإعداد ""تشغيل"" عندما يقوم المستخدم بفتح التطبيق الحاجة المستخدم لاختيار موقع فرعي (بلدة) ضمن الموقع (المدينة))"
followed_you,اتبعك.
bought_your_item,اشترى البند الخاص بك
you_bought,انت اشتريت
err_user_bought,عذرا، هناك مشكلة عندما اشترى المستخدم النقر.
success_user_bought,تم النقر العضو اشترى بنجاح.
thumbnail_generators_lng,مصغرة مولد
btn_create_thumbnail,مصغرة (1x2x3x) مولد
thumb_1x_label,thumbnail 1x حجم الصورة
thumb_2x_label,الصورة المصغرة 2x حجم الصورة
thumb_3x_label,الصورة المصغرة 3x حجم الصورة
image_lists_lng,قوائم الصور
img_name,اسم الصورة
success_img_create,thumbnail 2x، تم إنشاء 3X بنجاح.
img_not_exist,لم تكن الصورة موجودة في مجلد التحميل.
select_location_label,اختر موقعا
delete_offline_item_label,حذف البند دون اتصال؟
offline_item_delete_message_label,هل أنت متأكد من حذف عنصر دون اتصال بالإنترنت؟
blue_mark,علامة زرقاء
blue_mark_verified,التحقق من اللون الأزرق
blue_mark_applied,علامة زرقاء تطبيقها
blue_mark_rejected,رفض العلامة الزرقاء
verify_blue_mark_noti_approve,مبروك، وافق المسؤول علامتك الزرقاء.
verify_blue_mark_noti_reject,عذرا، رفض المشرف علامتك الزرقاء. يمكنك محاولة التقدم مرة أخرى.
verify_email_not_send_user,فشل في إرسال التحقق من البريد الإلكتروني إلى
del_photo,حذف صورة؟
upload_video,رفع فيديو
del_video,حذف الفيديو؟
del_video_confirm,هل أنت متأكد من حذف الفيديو؟
success_video_delete,تم حذف الفيديو بنجاح.
success_video_icon_delete,تم حذف أيقونة الفيديو بنجاح.
apply_success,تم تطبيق علامة زرقاء. يرجى الانتظار للحصول على موافقة المسؤول.
blue_mark_pending,حاليا، لا يمكنك تطبيق علامة زرقاء لأنك في انتظار. لذلك، يرجى الانتظار موافقة المسؤول.
already_blue_mark,لديك بالفعل علامة زرقاء.
note,ملحوظة
user_social_info_override,التجاوز المعلومات الاجتماعية للمستخدم؟ إذا تم التحقق، فسيتم تجاوز المعلومات الاجتماعية للمستخدم عند تسجيل الدخول باستخدام (Google و Facebook و Phone and Apple، إلخ ...)
recommended_size_img,الحجم الموصى به: 400 × 200
recommended_size_icon,الحجم الموصى به: 200 × 200
applied_date_label,تاريخ التطبيق (DD / مم / YYYY)
pending,قيد الانتظار
verified,تم التحقق
rejected,مرفوض
all,الجميع
blue_mark_users_label,تحقق من المستخدمين الأزرق المستخدمين
app_token_label,الرمز المميز التطبيق (لبورصة الفيسبوك)
already_sold_out,تم بيع العنصر بالفعل ولا يمكنك تقديم عرض.
city_id_required,يرجى اختيار معرف المدينة.
err_township_name,يرجى تقديم اسم البلدة.
err_township_len,يجب أن يكون طول اسم البلدة أكبر من 4.
success_township_add,تمت إضافة بلدة بنجاح.
success_township_edit,تم تحديث بلدة بنجاح.
deeplink_generator_label,مولد deeplink.
btn_deeplink_generator,توليد deeplink.
success_deeplink_generate,تم إنشاء Deeplink بنجاح.
cannot_chat,لا يمكن الدردشة إلى هذا المستخدم أو العنصر.
topics_fe_label,موضوعات لترفون
topics_label,مواضيع للجوال
go_to_be_setting_label,الذهاب إلى إعداد الخلفية
deeplink_note_label,ملاحظة - تم إنشاء الرابط الديناميكي للعنصر بواسطة هذه الإعدادات أعلاه. إذا كنت ترغب في التجديد مع إعداد جديد، فيرجى تغيير الإعداد هنا:
err_price,يرجى تقديم pirce.
price_cannot_zero,لا يمكن أن يكون السعر صفر.
is_thumb2x_3x_generate,"thumbnail 2x، إعداد 3x؟ (إذا كان هذا الإعداد ""قيد التشغيل عند تحميل الصورة، فسوف يقوم بإنشاء Thumbnail2x و Thumbnail3x تلقائيا.)"
thumb_generator_text_label,سيؤدي ذلك إلى إنشاء صور الصور المصغرة لكل عنصر. يرجى ملاحظة أن هذه العملية سوف تأخذ في بعض الأحيان بناء على بياناتك
thumb2x_3x_settting_off,إنشاء Thumbnail2x، إعداد 3x غير متوفر.
create_thumb2x_folder,مجلد Thumbnail2x غير موجود، يرجى إنشاءه أولا. أو يمكنك إيقاف تشغيل إعداد Thumb2x، 3x الإعداد.
create_thumb3x_folder,مجلد Thumbnail3x غير موجود، يرجى إنشاءه أولا. أو يمكنك إيقاف تشغيل إعداد Thumb2x، 3x الإعداد.
thumb2x_already_existed,توجد الصورة موجودة بالفعل في مجلد Thumbnail2x.
thumb3x_already_existed,توجد الصورة موجودة بالفعل في مجلد Thumbnail3x.
err_currency_symbol,يرجى تقديم رمز العملة.
err_description,يرجى تقديم وصف العنصر
pkg_add,أضف الحزمة
pkg_search,حزمة البحث
pkg_edit,تحرير الحزمة
success_pkg_edit,تم تحديث الحزمة بنجاح.
success_pkg_add,تمت إضافة الحزمة بنجاح.
success_pkg_delete,تم حذف الحزمة بنجاح.
title,عنوان
pkg_info,معلومات العبوة
post_count,عدد الوظائف
pkg_select_currency,حدد عملة الحزمة
err_pkg_title,يرجى تقديم عنوان الحزمة
err_pkg_price,يرجى تقديم سعر الحزمة
err_pkg_currency,يرجى تقديم عملة الحزمة
err_pkg_post_count,يرجى تقديم عدد الوظائف
err_pkg_exit,اسم الحزمة موجود بالفعل في النظام
delete_pkg_label,هل تريد حذف الحزمة؟
pkg_delete_confirm_message,هل أنت متأكد من حذف هذه الحزمة؟
pkg_yes_all_label,نعم جميعا
pkg_no_only_label,الحزمة فقط
err_pkg_bought,آسف
success_pkg_bought,تم شراء الحزمة بنجاح تم إدراجها.
is_paid_app,"التطبيق المدفوع على؟ (إذا كان هذا الإعداد ""تشغيل"" ، فهذا التطبيق مقيد بنشر إعلان المستخدم)"
package_module,الحزم
paid_item_module,تقرير العناصر الدعائية
paid_config_module,إعداد الدفع
is_subcat_subscription,"اشتراك الفئة الفرعية على؟ (إذا كان هذا الإعداد ""تشغيل"" ، يجب أن يكون المستخدم قادرًا على الاشتراك في الفئات الفرعية.)"
err_subcat_subscibe_save,آسف
err_subcat_subscibe_delete,آسف
success_subcat_subscribe,الاشتراك في فئة فرعية ناجحة.
verify_blue_mark,التحقق من Blue Mark
rating_view,مشاهدة تصنيف المستخدم
csv_export,تصدير CSV
Item_reports,العناصر المبلغ عنها
report_search,البحث عن عنصر المبلغ
rating_search,مستخدم تصنيف البحث
demo_login,تسجيل الدخول بحساب تجريبي
approve_item,الموافقة على العنصر
disable_item,تعطيل العنصر
reject_item,رفض البند
receive_rating_from,الحصول على تصنيف من
discount_rate_by_percentage,معدل الخصم بالنسبة المئوية
item_upload_config,Configs تحميل العنصر
success_item_config_edit,تم تحديث تهيئة تحميل العنصر بنجاح
success_item_config_add,تمت إضافة تكوين تحميل العنصر بنجاح
item_config_label,معلومات تكوين تحميل العنصر
item_type,نوع العنصر
price_type,نوع السعر
deal_option_remark,ملاحظة خيار الصفقة
System_users,مستخدمو النظام
Registered_users,المستخدمون المسجلون
item_location,موقع السلعة
item_location_township,موقع العنصر البلدة
Item_currency,عملة العنصر
App_settings,إعدادات التطبيقات
Backend_configs,تكوينات الواجهة الخلفية
is_block_user,"ميزة الحظر قيد التشغيل؟ (إذا كان هذا الإعداد على ""تشغيل"" ، يمكن للمستخدم منع المستخدمين الآخرين غير المرغوب فيهم من رؤية منشور إعلاناتهم.)"
err_image,يرجى ملء تحميل الصورة
err_video,يرجى ملء تحميل الفيديو
err_video_icon,يرجى ملء أيقونة تحميل الفيديو
item_video,تحميل عنصر فيديو
item_video_icon,تحميل أيقونة فيديو العنصر
item_loc_config,تكوين موقع العنصر
err_brand,يرجى تقديم اسم العلامة التجارية للمادة
err_address,يرجى تقديم العنوان
err_deal_option,يرجى تقديم خيار الصفقة
err_deal_option_remark,يرجى تقديم ملاحظة خيار الصفقة
err_highlight_info,يرجى تقديم معلومات مميزة
Item_price,سعر السلعة
err_item_price_type,الرجاء تقديم نوع سعر العنصر
err_item_type,يرجى تقديم نوع العنصر
err_condition_of_item,يرجى تقديم حالة العنصر
open,افتح
in_progress,في تقدم
close,أغلق
demo_data_delete,عرض حذف البيانات
demo_data_delete_note_label,ملاحظة: سيتم حذف جميع سجلات المستخدمين باستثناء حساب المسؤول.
success_demo_data_delete,تم حذف البيانات التجريبية بنجاح.
btn_submit,إرسال
admin_pwd_label,أدخل كلمة مرور المسؤول
delete_demo_data,هل أنت متأكد من حذف جميع البيانات التجريبية؟
admin_confirm,الرجاء إدخال كلمة مرور المسؤول أدناه لتأكيد عمليات حذف البيانات التجريبية هذه.
err_blank_pwd,يرجى ملء كلمة مرور المسؤول
err_pwd_invalid,كلمة المرور الخاصة بك غير صحيحة!
no_messages,لا توجد رسائل مؤخرًا
no_items,لا توجد عناصر مضافة مؤخرا
no_users,لا يوجد مستخدمون مضافون مؤخرا
img_all_delete,سيتم حذف جميع الصور ذات الصلة
images,الصور
no_need_bought,لا حاجة لشراء منشورات إعلانية ، فأنت من مستخدمي النظام.
need_user_bought,كان المستخدم بحاجة إلى هذا العنصر للشراء أولاً.
need_accept_offer,هذا العنصر مطلوب لقبول العرض أولاً.
need_make_offer,هذا العنصر مطلوب لتقديم عرض أولاً.
already_make_offer,هذا العنصر هو بالفعل عرض.
already_reject_offer,هذا البند قد تم رفض العرض بالفعل.
already_rejected,هذا البند قد تم رفض العرض بالفعل.
adpost_history_search,بحث في سجل معاملات نشر الإعلان
ad_post_transactions_module,سجل معاملات نشر الإعلان
package_name,اسم الحزمة
buy_ad_post_transactions,سجل معاملات نشر الإعلان
adpost_history_view,عرض تاريخ معاملات نشر الإعلان
cannot_default,معذرةً ، إنه غير قادر على التراجع عن الإعداد الافتراضي.
cannot_unpublish,عذرًا ، لا يمكنه إلغاء النشر للعملة الافتراضية.
new_item_upload_label,قطعة جديدة تم تحميلها تحت
csv_upload_instruction_city,"الرجاء اتباع هذه الخطوات أدناه: <br>
1. ثم قم بإعداد مثل تنسيق CSV. <a href=""https://drive.google.com/file/d/1g3T6H2cdZsGS0UlHji6_BkP_JIa1YBCy/view؟usp=sharing"" target=""_blank""> نموذج لملف csv هنا </a> <br>
2. يمكنك استخدام ""جداول بيانات Google"" لإنشاء وتصدير كفاصل فاصلة."
pls_upload_csv,يرجى تحميل ملف CSV.
something_wrong_upload,شيء خطأ تحميل الملف
err_paid_adpost_history,آسف! يرجى التحقق من معلومات الدفع.
total_city,إجمالي مدينة الموقع:
success_total_city,انجح موقع المدينة:
fail_total_city,مدينة الموقع الفاشلة:
total_township,إجمالي موقع البلدة:
success_total_township,نجح موقع البلدة:
fail_total_township,بلدة الموقع الفاشلة:
beacause_db_err,بسبب خطأ في قاعدة البيانات.
because_miss_city,بسبب فقدان موقع المدينة
because_miss_township,بسبب فقدان موقع البلدة
csv_upload_instruction_township,"الرجاء اتباع هذه الخطوات أدناه: <br>
1. ثم قم بإعداد مثل تنسيق CSV. <a href=""https://drive.google.com/file/d/1hkLZUDt4pxIqtfPE9k5rhzf4rhK6VJit/view؟usp=sharing"" target=""_blank""> نموذج لملف csv هنا </a> <br>
2. يمكنك استخدام ""جداول بيانات Google"" لإنشاء وتصدير كفاصل فاصلة. <br>
ملاحظة: يجب إضافة اسم المدينة المراد استخدامه في ملف CSV الخاص بالموقع بلدة أولاً."
because_noexit_city,اسم المدينة غير موجود في النظام
item_locations,مدينة موقع العنصر
city_existed,موجودة بالفعل في النظام.
township_existed,موجودة بالفعل في النظام.
success_generate_sitemap,تم إنشاء خريطة الموقع بنجاح.
sitemap_generator,مولد خريطة الموقع
sitemap_generators,مولد خريطة الموقع
sitemap_generator_label,مولد خريطة الموقع
btn_create_sitemap,توليد خريطة الموقع
err_generate_sitemap,لا ينتج عن ملفات Sitemap بعض الأخطاء.
sitemap_generate_desc,سيتم إنشاء ملفات XML لخريطة الموقع. يرجى ملاحظة أن هذه العملية ستستغرق بعض الأشياء بناءً على بياناتك.
sitemap_url_here,ملف خريطة الموقع هنا:
sitemap_info,تم إنشاء ملف Sitemap الخاص بك بتنسيق xml في
copy_sitemap_to_fe,انسخ ملف خريطة الموقع إلى الواجهة الأمامية
total_cat,الفئة الإجمالية:
success_cat,فئة النجاح:
fail_cat,الفئة الفاشلة:
miss_cat_name,بسبب فقدان اسم الفئة
miss_cat_img,"بسبب عدم وجود صورة الفئة في مجلد ""التحميلات""."
miss_cat_icon,"بسبب فقدان رمز الفئة في مجلد ""التحميلات""."
total_subcat,مجموع الفئة الفرعية:
success_subcat,الفئة الفرعية الناجحة:
fail_subcat,الفئة الفرعية الفاشلة:
miss_subcat_name,بسبب فقدان اسم الفئة الفرعية
miss_subcat_img,"بسبب فقد صورة الفئة الفرعية في مجلد ""التحميلات""."
miss_subcat_icon,"بسبب فقدان رمز الفئة الفرعية في مجلد ""التحميلات""."
not_exist_cat,اسم الفئة غير موجود في النظام.
db_err,بسبب خطأ في قاعدة البيانات.
already_existed,موجود بالفعل.
csv_upload_instruction_cat,"الرجاء اتباع هذه الخطوات أدناه: <br>
1. قم بتحميل الصور لتحميل المجلد يدويًا عبر FTP
2. ثم قم بإعداد مثل تنسيق CSV. <a href=""https://drive.google.com/file/d/1Qt-fnaTullQo6tOumLGwoZIB34b-TlW3/view؟usp=sharing"" target=""_blank""> نموذج للملف هنا </a> <br>
3. يمكنك استخدام جداول بيانات Google للإنشاء والتصدير كفاصل فاصلة."
csv_upload_instruction_subcat,"الرجاء اتباع هذه الخطوات أدناه: <br>
1. قم بتحميل الصور لتحميل المجلد يدويًا عبر FTP
2. ثم قم بإعداد مثل تنسيق CSV. <a href=""https://drive.google.com/file/d/1SZpLcLjRXEYZCym5aQJHs5Par0_qvrDr/view؟usp=sharing"" target=""_blank""> نموذج للملف هنا </a> <br>
3. يمكنك استخدام جداول بيانات Google للإنشاء والتصدير كفاصل فاصلة. <br>
<b> ملاحظة: يجب إضافة اسم الفئة الذي سيتم استخدامه في ملف CSV للفئة الفرعية أولاً. </ b>"
unauthorize_item_edit,ليس لديك إذن لتحديث عنصر لأنه ليس العنصر الخاص بك.
not_enought_post_count,لا توجد مشاركات كافية.
record_not_found,10001 # آسف
record_no_pagination,10001 # معذرة ، لا مزيد من السجلات في النظام.
offer_rejected,العرض مرفوض!
make_offer,تقديم عرض!
offer_accepted,عرض قبول!
image,صورة!
about_app,حول التطبيق
api_setting,إعداد API
app_setting,إعداد التطبيق
fail_push_devices,فشل في دفع جميع أجهزة Android و IOS.
fail_push_websites,فشل في دفع جميع المواقع.
push_noti_module,دفع الإخطار
app_version,الإصدار
err_title,يرجى تقديم العنوان.
err_title_len,يجب أن يكون طول العنوان أكبر من 4.
remove_label,إزالة
all_label,الجميع
approved_label,وافق
reject_label,يرفض
err_icon,الرجاء تعبئة أيقونة التحميل.
start_upload,ابدأ التحميل
cancel_upload,إلغاء الرفع
add_files,إضافة ملفات
btn_update,تحديث
err,خطأ
btn_start,يبدأ
btn_close,يغلق
category,فئة
added,مضاف
disable_label,تعطيل
waiting_approval_label,بانتظار الموافقة
count,عدد
demo_dummy_refresh_hour,يرجى العلم أن الخلفية هي وضع تجريبي ، لذا سيتم تحديث كل هذه البيانات الوهمية كل ساعة.
sys_err_occur,حدث خطأ في النظام. من فضلك تواصل مع مسؤول نظامك.
registered_user,مستخدم مسجل
generate_thumbnail_label,سيتم إنشاء الصور المصغرة لكل عنصر. يرجى ملاحظة أن هذه العملية ستستغرق بعض الوقت بناءً على بياناتك.
max_img_upload_of_item,الحد الأقصى لتحميل الصور للعنصر
err_max_img_blank_save,يرجى تقديم الحد الأقصى لتحميل الصور للعنصر.
err_max_img_zero_save,لا يمكن أن يكون الحد الأقصى لتحميل الصور للعنصر صفرًا.
err_max_img_upload,صورة العنصر بحد أقصى.
price_format,تنسيق الأسعار
price_format_desc,"تحتاج إلى التغيير وفقا للتنسيق الذي تحتاجه (على سبيل المثال "",##0.00"" => 2,555.00, ""##0.00"" => 2555.00 ,"".00"" => 2555.00, "",##0"" => 2,555, "",##0.0"" => 2,555.0)"
date_format,صيغة التاريخ
google_playstore_url,Google Play Store URL
apple_appstore_url,URL Apple App Store
ios_appstore_id,IOS App Store ID
default_order_time,وقت الطلب الافتراضي (بالدقائق)
fb_key,مفتاح الفيسبوك
is_show_token_id,"معرف الرمز المميز على؟ (إذا كان هذا الإعداد ""تشغيل""، فيمكن للمستخدم عرض معرف الرمز المميز في إعداد الإشعار.)"
is_show_subcategory,"الفئة الفرعية على؟ (إذا كان هذا الإعداد هو ""تشغيل""، يمكن أن تكون الفئة الفرعية قادرة على استخدامها في التطبيق.)"
is_use_thumbnail_as_placeholder,استخدام الصورة المصغرة كإعداد العنصر النائب قيد التشغيل؟ (إذا كان هذا الإعداد تشغيلا، تحميل الصورة المصغرة أولا، ثم سيقوم لاحقا بتحميل الصورة الكاملة. أو إذا كان هذا الإعداد هو إيقاف ، تحميل الصورة الكاملة مباشرة وبالنسبة لصورة العنصر النائب ، سيستخدم صورة العنصر النائب الافتراضية.)
admob_section,admob التكوين
is_show_admob,"إعداد AdMob قيد التشغيل؟ (إذا كان هذا الإعداد ""تشغيلا""، فسيعرض التطبيق الإعلانات.)"
lang_section,تكوين اللغة
default_language,اللغة الافتراضية
exclude_language,اللغات المتوفرة
exclude_lang_desc,"(إذا كانت اللغة ""تشغيل"" ، فيمكن للمستخدم استخدام هذه اللغة في التطبيق.)"
default_currency_section,تكوين العملة الافتراضي
default_razor_currency,العملة الحلاقة الافتراضية
is_razor_support_multi_currency,"دعم الحلاقة متعددة العملات على؟ (إذا كان هذا الإعداد ""تشغيل""، فيمكنك قبول الدفع البسيط بعملات متعددة في التطبيق.)"
default_flutter_wave_currency,العملة flutterwave الافتراضية
login_section,تكوين تسجيل الدخول
show_facebook_login,"الفيسبوك تسجيل الدخول على؟ (إذا كان هذا الإعداد ""تشغيل""، فيمكن تسجيل دخول المستخدمين باستخدام فيسبوك.)"
show_google_login,"جوجل تسجيل الدخول على؟ (إذا كان هذا الإعداد ""تشغيل""، فيمكن تسجيل دخول المستخدمين باستخدام Google.)"
show_phone_login,"تسجيل الدخول عبر الهاتف؟ (إذا كان هذا الإعداد ""تشغيل""، فيمكن تسجيل دخول المستخدمين باستخدام رقم هاتف.)"
show_main_menu,"القائمة الرئيسية على؟ (إذا كان هذا الإعداد هو ""تشغيل""، يمكن للمستخدم عرض علامة التبويب ""القائمة الرئيسية"" في كل متجر.)"
show_special_collections,"مجموعات خاصة على؟ (إذا كان هذا الإعداد ""تشغيل""، يمكن للمستخدم عرض علامة التبويب ""العروض الخاصة"" في كل متجر.)"
show_featured_items,"العناصر المميزة على؟ (إذا كان هذا الإعداد ""تشغيل""، يمكن للمستخدم عرض ""العناصر المميزة"" في كل متجر.)"
show_best_choice_slider,"أفضل خيار المنزلق على؟ (إذا كان هذا الإعداد ""تشغيل"" عندما يفتح المستخدم التطبيق، فيمكن للمستخدم عرض أفضل مجموعات الخيارات باستخدام طريقة عرض شريط التمرير.)"
default_loading_limit,حد التحميل الافتراضي
category_loading_limit,فئة تحميل الحد.
recent_item_loading_limit,الحد الأخير تحميل الحد
popular_item_loading_limit,الحد الشعبي تحميل الحد
discount_item_loading_limit,خصم عنصر تحميل الحد
feature_item_loading_limit,ميزة الحد من البند
block_slider_loading_limit,كتلة تحميل منزلق
follower_item_loading_limit,تابع البند تحميل الحد
default_limit_section,تكوين الحد الافتراضي
block_item_loading_limit,حظر تحميل العنصر
date_format_desc,DD لهذا اليوم، مم لمدة شهر، YYYY لهذا العام، سموه لمدة ساعة، مم لمدة دقيقة، SS للمرة الثانية (على سبيل المثال DD-MM-YYYY HH: MM: SS)
