key,value
module_select_group,Seç Modülü Grubu
delete_module_label,Modül Sil?
module_delete_confirm_message,Emin bu Modülü silmek musunuz?
delete_group_label,Modül Grubu Sil?
group_delete_confirm_message,Bu Modül Grubu silmek istediğinizden emin misiniz?
err_module_name,modül adı verin
err_module_len,Modül Adı uzunluğu 4 daha büyük olmalıdır
err_module_exist,Modül Adı zaten vardı edilir
module_search,Modül Adı Arama
success_module_edit,Modül başarıyla güncellendi.
success_module_add,Modül başarıyla eklendi.
module_edit,Düzenleme Modülü
success_module_delete,Modül başarıyla silindi.
approval_yes_all_message,Silmek istediğinize emin misiniz?
err_user_phone_exist,Telefon sistemde zaten var olan.
paid_history_edit,Düzenleme hareketleri geçmişi
paid_prd_add,Ücretli Öğe Ekle
delete_system_user_label,Sistem Kullanıcıyı Sil?
system_user_delete_confirm_message,Bu sistem Kullanıcıyı silmek istediğinizden emin misiniz?
loc_ordering,Sipariş
select_location_label,Yer seç
delete_offline_item_label,Çevrimdışı öğeyi silin mi?
offline_item_delete_message_label,Çevrimdışı öğeyi sildiğinizden emin misiniz?
blue_mark,Mavi işaret
blue_mark_verified,Mavi işaret doğrulandı
blue_mark_applied,Mavi işareti uygulandı
blue_mark_rejected,Mavi mark reddedildi
verify_blue_mark_noti_approve,"Tebrikler, yönetici mavi işaretinizi onayladı."
verify_blue_mark_noti_reject,"Üzgünüz, Yönetici mavi işaretinizi reddetti. Tekrar başvurmaya çalışabilirsiniz."
verify_email_not_send_user,E-postayı doğrulamak için başarısız
del_photo,Resmi Sil?
upload_video,Video yükle
del_video,Videoyu sil?
del_video_confirm,Videoyu sildiğinizden emin misiniz?
success_video_delete,Video başarıyla silindi.
success_video_icon_delete,Video simgesi başarıyla silindi.
apply_success,Mavi işaret uygulandı. Lütfen yönetici onayını bekleyin.
blue_mark_pending,"Halen, beklemede olduğunuz için mavi işareti uygulayamazsınız. Öyleyse, lütfen yönetici onayını bekleyin."
already_blue_mark,Zaten mavi işareti aldın.
